supplier_id,food_name,food_category,prepared_qty,sold_qty,surplus_qty,price,waste_qty,created_date,weekday_name,is_weekend,festival_name,is_festival,weather,temperature,demand_score
sup-004,Veg Noodles,FastFood,111,59,52,111.58,12,2025-05-16,Saturday,true,,false,Sunny,31.2,0.6
sup-001,Egg Puff,Bakery,101,56,45,28.05,11,2025-05-17,Sunday,true,,false,Overcast,32,0.55
sup-002,Idli Sambar,Breakfast,102,45,57,65.54,14,2025-05-18,Monday,false,,false,Cloudy,29.8,0.39
sup-003,Egg Puff,Bakery,135,76,59,32.68,12,2025-05-19,Tuesday,false,,false,Overcast,32.2,0.56
sup-004,Chicken Biryani,Rice,121,34,87,182.33,28,2025-05-20,Wednesday,false,,false,Rainy,30.2,0.4
sup-001,Lemon Rice,Lunch,116,44,72,70.11,25,2025-05-21,Thursday,false,,false,Rainy,30,0.28
sup-002,Curd Rice,Lunch,64,35,29,71.13,7,2025-05-22,Friday,false,,false,Overcast,31.3,0.47
sup-003,Idli Sambar,Breakfast,132,100,32,60.1,7,2025-05-23,Saturday,true,,false,Overcast,30.6,0.71
sup-004,Bread Pack,Bakery,145,78,67,56.76,16,2025-05-24,Sunday,true,,false,Sunny,30.3,0.52
sup-001,Egg Puff,Bakery,119,60,59,29.12,13,2025-05-25,Monday,false,,false,Cloudy,29.1,0.5
sup-002,Bread Pack,Bakery,93,43,50,55.53,12,2025-05-26,Tuesday,false,,false,Overcast,31.2,0.44
sup-003,Curd Rice,Lunch,80,28,52,72.43,18,2025-05-27,Wednesday,false,,false,Rainy,27.7,0.27
sup-004,Bread Pack,Bakery,88,49,39,51.98,8,2025-05-28,Thursday,false,,false,Cloudy,29,0.54
sup-001,Chicken Biryani,Rice,95,27,68,174.57,16,2025-05-29,Friday,false,,false,Humid,33.4,0.4
sup-002,Egg Puff,Bakery,114,52,62,31.54,16,2025-05-30,Saturday,true,,false,Cloudy,29.8,0.46
sup-003,Bread Pack,Bakery,165,111,54,53.66,12,2025-05-31,Sunday,true,,false,Humid,27.6,0.65
sup-004,Egg Puff,Bakery,138,80,58,38.85,12,2025-06-01,Monday,false,,false,Sunny,26.6,0.58
sup-001,Lemon Rice,Lunch,79,52,27,68.88,6,2025-06-02,Tuesday,false,,false,Cloudy,27.3,0.56
sup-002,Veg Noodles,FastFood,82,28,54,113.88,17,2025-06-03,Wednesday,false,,false,Rainy,24.8,0.41
sup-003,Vegetable Biryani,Rice,120,35,85,136.85,28,2025-06-04,Thursday,false,,false,Rainy,27,0.39
sup-004,Chapati Kurma,Dinner,107,73,34,86.56,6,2025-06-05,Friday,false,,false,Overcast,27.2,0.71
sup-001,Chicken Biryani,Rice,82,43,39,186.47,9,2025-06-06,Saturday,true,,false,Overcast,27.5,0.64
sup-002,Lemon Rice,Lunch,75,51,24,63.65,7,2025-06-07,Sunday,true,,false,Rainy,26.4,0.58
sup-003,Chapati Kurma,Dinner,76,33,43,87.1,10,2025-06-08,Monday,false,,false,Cloudy,27,0.47
sup-004,Idli Sambar,Breakfast,101,56,45,61.18,10,2025-06-09,Tuesday,false,,false,Cloudy,28,0.5
sup-001,Idli Sambar,Breakfast,72,37,35,56.77,11,2025-06-10,Wednesday,false,,false,Rainy,25.4,0.46
sup-002,Idli Sambar,Breakfast,106,65,41,62.53,8,2025-06-11,Thursday,false,,false,Sunny,28.4,0.56
sup-003,Paneer Fried Rice,Rice,83,40,43,135.99,9,2025-06-12,Friday,false,,false,Humid,27.7,0.56
sup-004,Chicken Biryani,Rice,105,56,49,178.81,15,2025-06-13,Saturday,true,,false,Rainy,26.2,0.65
sup-001,Lemon Rice,Lunch,80,54,26,71.53,6,2025-06-14,Sunday,true,,false,Humid,30.1,0.58
sup-002,Chapati Kurma,Dinner,60,21,39,87.09,13,2025-06-15,Monday,false,,false,Rainy,27.3,0.38
sup-003,Vegetable Biryani,Rice,126,44,82,139.66,19,2025-06-16,Tuesday,false,,false,Humid,28,0.45
sup-004,Chapati Kurma,Dinner,75,40,35,90.93,7,2025-06-17,Wednesday,false,,false,Sunny,28.1,0.57
sup-001,Veg Noodles,FastFood,65,25,40,112.92,12,2025-06-18,Thursday,false,,false,Rainy,25.1,0.45
sup-002,Vegetable Biryani,Rice,77,39,38,141.98,8,2025-06-19,Friday,false,,false,Cloudy,27.5,0.6
sup-003,Egg Puff,Bakery,167,100,67,38.53,15,2025-06-20,Saturday,true,,false,Humid,28.7,0.6
sup-004,Chicken Biryani,Rice,99,44,55,178.32,13,2025-06-21,Sunday,true,,false,Cloudy,26.6,0.56
sup-001,Chicken Biryani,Rice,87,35,52,174.14,11,2025-06-22,Monday,false,,false,Humid,29.9,0.52
sup-002,Chapati Kurma,Dinner,74,45,29,88.05,5,2025-06-23,Tuesday,false,,false,Sunny,29.1,0.64
sup-003,Egg Puff,Bakery,166,78,88,32.57,20,2025-06-24,Wednesday,false,,false,Humid,29.5,0.47
sup-004,Lemon Rice,Lunch,89,54,35,63.35,10,2025-06-25,Thursday,false,,false,Rainy,25.1,0.51
sup-001,Chicken Biryani,Rice,88,30,58,185.01,13,2025-06-26,Friday,false,,false,Cloudy,27.3,0.46
sup-002,Chicken Biryani,Rice,98,62,36,184.8,7,2025-06-27,Saturday,true,,false,Overcast,27.1,0.75
sup-003,Chicken Biryani,Rice,147,100,47,176.85,9,2025-06-28,Sunday,true,,false,Overcast,26.6,0.8
sup-004,Idli Sambar,Breakfast,119,73,46,61.54,10,2025-06-29,Monday,false,,false,Sunny,27.4,0.56
sup-001,Idli Sambar,Breakfast,114,76,38,54.34,7,2025-06-30,Tuesday,false,,false,Sunny,28.7,0.62
sup-002,Chicken Biryani,Rice,57,32,25,185.16,4,2025-07-01,Wednesday,false,,false,Sunny,27.7,0.69
sup-003,Chicken Biryani,Rice,115,39,76,173.4,17,2025-07-02,Thursday,false,,false,Cloudy,26.5,0.46
sup-004,Paneer Fried Rice,Rice,61,29,32,125.67,7,2025-07-03,Friday,false,,false,Sunny,27.1,0.55
sup-001,Egg Puff,Bakery,118,85,33,30.22,7,2025-07-04,Saturday,true,,false,Sunny,26.5,0.72
sup-002,Bread Pack,Bakery,153,116,37,54.34,7,2025-07-05,Sunday,true,,false,Sunny,26.6,0.74
sup-003,Chapati Kurma,Dinner,75,36,39,95.74,8,2025-07-06,Monday,false,,false,Cloudy,27.1,0.51
sup-004,Curd Rice,Lunch,71,47,24,68.78,5,2025-07-07,Tuesday,false,,false,Cloudy,26.4,0.58
sup-001,Veg Noodles,FastFood,67,31,36,110.54,8,2025-07-08,Wednesday,false,,false,Overcast,28.5,0.54
sup-002,Vegetable Biryani,Rice,85,25,60,134.24,19,2025-07-09,Thursday,false,,false,Rainy,27.2,0.39
sup-003,Idli Sambar,Breakfast,125,73,52,59.71,11,2025-07-10,Friday,false,,false,Sunny,29.3,0.53
sup-004,Chicken Biryani,Rice,139,79,60,178.08,12,2025-07-11,Saturday,true,,false,Humid,30,0.69
sup-001,Lemon Rice,Lunch,90,68,22,65.58,5,2025-07-12,Sunday,true,,false,Humid,27.9,0.66
sup-002,Chicken Biryani,Rice,98,44,54,185.05,11,2025-07-13,Monday,false,,false,Humid,28.2,0.57
sup-003,Vegetable Biryani,Rice,91,50,41,143.23,8,2025-07-14,Tuesday,false,,false,Cloudy,27.1,0.65
sup-004,Chicken Biryani,Rice,88,46,42,174.81,8,2025-07-15,Wednesday,false,,false,Overcast,28.2,0.64
sup-001,Chapati Kurma,Dinner,115,75,40,87.99,7,2025-07-16,Thursday,false,,false,Overcast,29,0.68
sup-002,Bread Pack,Bakery,109,66,43,51.87,9,2025-07-17,Friday,false,,false,Humid,30.2,0.59
sup-003,Chapati Kurma,Dinner,115,72,43,93.8,9,2025-07-18,Saturday,true,,false,Cloudy,28.1,0.66
sup-004,Egg Puff,Bakery,109,87,22,40.76,4,2025-07-19,Sunday,true,,false,Overcast,27.2,0.8
sup-001,Paneer Fried Rice,Rice,101,37,64,135.26,20,2025-07-20,Monday,false,,false,Rainy,25.2,0.45
sup-002,Egg Puff,Bakery,85,45,40,34.5,9,2025-07-21,Tuesday,false,,false,Overcast,27.8,0.53
sup-003,Curd Rice,Lunch,134,99,35,69.52,6,2025-07-22,Wednesday,false,,false,Sunny,26.7,0.66
sup-004,Veg Noodles,FastFood,87,41,46,110.32,10,2025-07-23,Thursday,false,,false,Humid,28.5,0.54
sup-001,Chicken Biryani,Rice,115,39,76,180.67,17,2025-07-24,Friday,false,,false,Cloudy,27.5,0.46
sup-002,Chapati Kurma,Dinner,131,101,30,85.88,6,2025-07-25,Saturday,true,,false,Overcast,26.6,0.8
sup-003,Curd Rice,Lunch,87,77,10,80.05,2,2025-07-26,Sunday,true,,false,Overcast,26.8,0.81
sup-004,Paneer Fried Rice,Rice,72,32,40,127.08,9,2025-07-27,Monday,false,,false,Overcast,28,0.53
sup-001,Vegetable Biryani,Rice,118,59,59,146.3,12,2025-07-28,Tuesday,false,,false,Humid,27.9,0.6
sup-002,Chapati Kurma,Dinner,116,77,39,86.38,7,2025-07-29,Wednesday,false,,false,Overcast,27.6,0.69
sup-003,Egg Puff,Bakery,122,78,44,39.3,8,2025-07-30,Thursday,false,,false,Cloudy,27.1,0.64
sup-004,Lemon Rice,Lunch,86,60,26,76.54,5,2025-07-31,Friday,false,,false,Cloudy,26.2,0.6
sup-001,Chapati Kurma,Dinner,133,100,33,88.03,6,2025-08-01,Saturday,true,,false,Overcast,29.2,0.78
sup-002,Lemon Rice,Lunch,92,60,32,74.11,10,2025-08-02,Sunday,true,,false,Rainy,25.8,0.55
sup-003,Paneer Fried Rice,Rice,98,61,37,134.17,7,2025-08-03,Monday,false,,false,Overcast,29.1,0.7
sup-004,Paneer Fried Rice,Rice,121,56,65,135.85,14,2025-08-04,Tuesday,false,,false,Overcast,27,0.54
sup-001,Veg Noodles,FastFood,104,38,66,116.71,21,2025-08-05,Wednesday,false,,false,Rainy,25.3,0.44
sup-002,Veg Noodles,FastFood,112,62,50,114.52,10,2025-08-06,Thursday,false,,false,Sunny,29.5,0.62
sup-003,Idli Sambar,Breakfast,131,75,56,62.51,12,2025-08-07,Friday,false,,false,Sunny,27.3,0.52
sup-004,Idli Sambar,Breakfast,75,52,23,54.3,5,2025-08-08,Saturday,true,,false,Overcast,27.7,0.64
sup-001,Idli Sambar,Breakfast,121,82,39,60.67,12,2025-08-09,Sunday,true,,false,Rainy,26.1,0.63
sup-002,Paneer Fried Rice,Rice,69,27,42,129.96,13,2025-08-10,Monday,false,,false,Rainy,27.2,0.47
sup-003,Chicken Biryani,Rice,121,70,51,184.76,9,2025-08-11,Tuesday,false,,false,Sunny,28.4,0.7
sup-004,Bread Pack,Bakery,135,92,43,52.56,8,2025-08-12,Wednesday,false,,false,Sunny,27.2,0.66
sup-001,Lemon Rice,Lunch,94,55,39,68.59,12,2025-08-13,Thursday,false,,false,Rainy,25.5,0.49
sup-002,Vegetable Biryani,Rice,123,73,50,136.47,9,2025-08-14,Friday,false,,false,Overcast,27.5,0.69
sup-003,Veg Noodles,FastFood,87,57,30,114.42,6,2025-08-15,Saturday,true,,false,Sunny,27.4,0.73
sup-004,Chapati Kurma,Dinner,81,36,45,90.48,15,2025-08-16,Sunday,true,,false,Rainy,26.5,0.48
sup-001,Veg Noodles,FastFood,59,22,37,110.22,9,2025-08-17,Monday,false,,false,Cloudy,28.4,0.45
sup-002,Lemon Rice,Lunch,65,53,12,74.94,2,2025-08-18,Tuesday,false,,false,Sunny,28.1,0.71
sup-003,Egg Puff,Bakery,125,63,62,30.54,14,2025-08-19,Wednesday,false,,false,Cloudy,26.5,0.5
sup-004,Veg Noodles,FastFood,120,42,78,111.56,25,2025-08-20,Thursday,false,,false,Rainy,25.9,0.42
sup-001,Chapati Kurma,Dinner,86,30,56,90.79,18,2025-08-21,Friday,false,,false,Rainy,26.9,0.38
sup-002,Egg Puff,Bakery,160,88,72,34.94,17,2025-08-22,Saturday,true,,false,Humid,28.6,0.55
sup-003,Vegetable Biryani,Rice,154,88,66,143.89,14,2025-08-23,Sunday,true,,false,Cloudy,28.2,0.67
sup-004,Egg Puff,Bakery,92,51,41,30.03,12,2025-08-24,Monday,false,,false,Rainy,27.2,0.55
sup-001,Vegetable Biryani,Rice,77,39,38,136.7,7,2025-08-25,Tuesday,false,,false,Cloudy,28.5,0.61
sup-002,Lemon Rice,Lunch,63,39,24,63.97,5,2025-08-26,Wednesday,false,,false,Cloudy,28.2,0.52
sup-003,Lemon Rice,Lunch,107,56,51,71,16,2025-08-27,Thursday,false,,false,Rainy,25.5,0.42
sup-004,Paneer Fried Rice,Rice,61,30,31,136.29,6,2025-08-28,Friday,false,,false,Sunny,29.4,0.57
sup-001,Vegetable Biryani,Rice,122,55,67,142.36,16,2025-08-29,Saturday,true,,false,Humid,30.4,0.55
sup-002,Lemon Rice,Lunch,124,100,24,75.62,5,2025-08-30,Sunday,true,,false,Overcast,28.7,0.71
sup-003,Egg Puff,Bakery,121,67,54,30.08,11,2025-08-31,Monday,false,,false,Sunny,29.6,0.55
sup-004,Lemon Rice,Lunch,107,66,41,71.63,9,2025-09-01,Tuesday,false,,false,Cloudy,27.9,0.52
sup-001,Curd Rice,Lunch,120,72,48,68.1,10,2025-09-02,Wednesday,false,,false,Cloudy,29.7,0.52
sup-002,Chapati Kurma,Dinner,104,62,42,86.5,8,2025-09-03,Thursday,false,,false,Overcast,30.9,0.63
sup-003,Veg Noodles,FastFood,126,68,58,104.86,11,2025-09-04,Friday,false,,false,Humid,32.2,0.61
sup-004,Vegetable Biryani,Rice,77,32,45,144.18,15,2025-09-05,Saturday,true,,false,Rainy,26.6,0.52
sup-001,Chapati Kurma,Dinner,104,54,50,85.11,16,2025-09-06,Sunday,true,,false,Rainy,28.6,0.55
sup-002,Idli Sambar,Breakfast,77,46,31,60.75,6,2025-09-07,Monday,false,,false,Sunny,28.9,0.55
sup-003,Bread Pack,Bakery,102,53,49,56.71,11,2025-09-08,Tuesday,false,,false,Humid,31.8,0.5
sup-004,Curd Rice,Lunch,63,37,26,72.53,6,2025-09-09,Wednesday,false,,false,Humid,30.3,0.5
sup-001,Vegetable Biryani,Rice,58,24,34,135.83,7,2025-09-10,Thursday,false,,false,Humid,29.9,0.51
sup-002,Chapati Kurma,Dinner,64,34,30,85.76,6,2025-09-11,Friday,false,,false,Overcast,28.6,0.56
sup-003,Idli Sambar,Breakfast,107,56,51,54.07,17,2025-09-12,Saturday,true,,false,Rainy,27.6,0.47
sup-004,Idli Sambar,Breakfast,85,71,14,65.18,3,2025-09-13,Sunday,true,,false,Overcast,31.2,0.78
sup-001,Lemon Rice,Lunch,57,43,14,64.69,3,2025-09-14,Monday,false,,false,Sunny,30,0.65
sup-002,Chapati Kurma,Dinner,95,39,56,95.22,13,2025-09-15,Tuesday,false,,false,Cloudy,30.4,0.44
sup-003,Paneer Fried Rice,Rice,113,32,81,125.39,27,2025-09-16,Wednesday,false,,false,Rainy,29.3,0.36
sup-004,Lemon Rice,Lunch,60,32,28,69.38,7,2025-09-17,Thursday,false,,false,Humid,29.9,0.43
sup-001,Chapati Kurma,Dinner,85,45,40,90.92,8,2025-09-18,Friday,false,,false,Cloudy,28.6,0.56
sup-002,Paneer Fried Rice,Rice,80,48,32,134.9,7,2025-09-19,Saturday,true,,false,Overcast,31.3,0.68
sup-003,Lemon Rice,Lunch,98,78,20,70.77,4,2025-09-20,Sunday,true,,false,Overcast,31.3,0.7
sup-004,Paneer Fried Rice,Rice,59,22,37,124.83,12,2025-09-21,Monday,false,,false,Rainy,29.2,0.45
sup-001,Idli Sambar,Breakfast,123,66,57,59.98,13,2025-09-22,Tuesday,false,,false,Overcast,29.2,0.49
sup-002,Idli Sambar,Breakfast,74,44,30,61.11,6,2025-09-23,Wednesday,false,,false,Cloudy,30.3,0.54
sup-003,Vegetable Biryani,Rice,99,43,56,134.61,12,2025-09-24,Thursday,false,,false,Sunny,29.4,0.53
sup-004,Lemon Rice,Lunch,57,44,13,63.55,2,2025-09-25,Friday,false,,false,Overcast,30.2,0.68
sup-001,Egg Puff,Bakery,161,85,76,28.33,18,2025-09-26,Saturday,true,,false,Cloudy,30.1,0.53
sup-002,Egg Puff,Bakery,96,67,29,37.62,6,2025-09-27,Sunday,true,,false,Sunny,30.7,0.7
sup-003,Veg Noodles,FastFood,137,62,75,105.98,16,2025-09-28,Monday,false,,false,Sunny,28.9,0.52
sup-004,Bread Pack,Bakery,81,52,29,47.47,6,2025-09-29,Tuesday,false,,false,Sunny,31.3,0.62
sup-001,Vegetable Biryani,Rice,55,29,26,139.44,5,2025-09-30,Wednesday,false,,false,Overcast,30.9,0.63
sup-002,Curd Rice,Lunch,104,58,46,69.21,14,2025-10-01,Thursday,false,,false,Rainy,28.4,0.48
sup-003,Chapati Kurma,Dinner,133,73,60,86.31,17,2025-10-02,Friday,false,,false,Rainy,27.4,0.58
sup-004,Bread Pack,Bakery,107,71,36,46.78,8,2025-10-03,Saturday,true,,false,Humid,32.1,0.64
sup-001,Paneer Fried Rice,Rice,74,38,36,130.36,11,2025-10-04,Sunday,true,,false,Rainy,27.1,0.6
sup-002,Idli Sambar,Breakfast,114,89,25,54.28,4,2025-10-05,Monday,false,,false,Overcast,31.4,0.73
sup-003,Veg Noodles,FastFood,89,44,45,104.26,13,2025-10-06,Tuesday,false,,false,Rainy,26.5,0.56
sup-004,Egg Puff,Bakery,129,77,52,33.85,14,2025-10-07,Wednesday,false,,false,Rainy,27.2,0.6
sup-001,Idli Sambar,Breakfast,100,43,57,64.06,19,2025-10-08,Thursday,false,,false,Rainy,28.2,0.38
sup-002,Vegetable Biryani,Rice,116,53,63,141.58,13,2025-10-09,Friday,false,,false,Cloudy,29.7,0.56
sup-003,Lemon Rice,Lunch,132,102,30,67.34,6,2025-10-10,Saturday,true,,false,Humid,32.3,0.67
sup-004,Chapati Kurma,Dinner,89,66,23,83.48,4,2025-10-11,Sunday,true,,false,Cloudy,29,0.77
sup-001,Paneer Fried Rice,Rice,73,37,36,132.69,7,2025-10-12,Monday,false,,false,Overcast,29.6,0.59
sup-002,Idli Sambar,Breakfast,83,51,32,54.99,7,2025-10-13,Tuesday,false,,false,Overcast,29.6,0.56
sup-003,Idli Sambar,Breakfast,78,41,37,58.14,11,2025-10-14,Wednesday,false,,false,Rainy,28.9,0.47
sup-004,Chapati Kurma,Dinner,110,56,54,87.26,11,2025-10-15,Thursday,false,,false,Cloudy,29,0.54
sup-001,Idli Sambar,Breakfast,73,43,30,62.85,6,2025-10-16,Friday,false,,false,Overcast,29.3,0.54
sup-002,Chapati Kurma,Dinner,111,73,38,85.33,8,2025-10-17,Saturday,true,,false,Cloudy,27.6,0.69
sup-003,Idli Sambar,Breakfast,127,94,33,54.33,7,2025-10-18,Sunday,true,,false,Humid,29.7,0.69
sup-004,Veg Noodles,FastFood,82,50,32,113.35,6,2025-10-19,Monday,false,,false,Overcast,29.3,0.68
sup-001,Curd Rice,Lunch,111,84,27,74.41,9,2025-10-20,Tuesday,false,Diwali,true,Rainy,27.7,0.68
sup-002,Paneer Fried Rice,Rice,96,52,44,127.59,9,2025-10-21,Wednesday,false,,false,Overcast,30.1,0.62
sup-003,Chapati Kurma,Dinner,95,50,45,92.02,13,2025-10-22,Thursday,false,,false,Rainy,27.2,0.56
sup-004,Bread Pack,Bakery,85,56,29,56.73,5,2025-10-23,Friday,false,,false,Overcast,29.3,0.64
sup-001,Idli Sambar,Breakfast,98,84,14,57.78,3,2025-10-24,Saturday,true,,false,Sunny,31.3,0.81
sup-002,Curd Rice,Lunch,103,91,12,72.06,2,2025-10-25,Sunday,true,,false,Overcast,31.1,0.8
sup-003,Lemon Rice,Lunch,98,74,24,69.99,4,2025-10-26,Monday,false,,false,Sunny,30.7,0.65
sup-004,Curd Rice,Lunch,116,65,51,73.8,16,2025-10-27,Tuesday,false,,false,Rainy,26.9,0.48
sup-001,Egg Puff,Bakery,97,54,43,28.65,9,2025-10-28,Wednesday,false,,false,Cloudy,29.1,0.56
sup-002,Chapati Kurma,Dinner,89,43,46,94.99,10,2025-10-29,Thursday,false,,false,Cloudy,29,0.51
sup-003,Idli Sambar,Breakfast,78,39,39,53.77,12,2025-10-30,Friday,false,,false,Rainy,28.6,0.45
sup-004,Chapati Kurma,Dinner,98,74,24,90.05,4,2025-10-31,Saturday,true,,false,Sunny,25.8,0.79
sup-001,Paneer Fried Rice,Rice,109,80,29,130.48,5,2025-11-01,Sunday,true,,false,Sunny,27.2,0.81
sup-002,Chapati Kurma,Dinner,58,37,21,85.25,4,2025-11-02,Monday,false,,false,Cloudy,26,0.67
sup-003,Chicken Biryani,Rice,140,74,66,182.15,12,2025-11-03,Tuesday,false,,false,Sunny,24.7,0.65
sup-004,Vegetable Biryani,Rice,65,31,34,134.7,10,2025-11-04,Wednesday,false,,false,Rainy,22.6,0.57
sup-001,Lemon Rice,Lunch,101,69,32,72.7,6,2025-11-05,Thursday,false,,false,Overcast,26.9,0.58
sup-002,Paneer Fried Rice,Rice,95,41,54,124.97,12,2025-11-06,Friday,false,,false,Humid,26.9,0.51
sup-003,Chicken Biryani,Rice,117,71,46,174.54,9,2025-11-07,Saturday,true,,false,Overcast,25.1,0.73
sup-004,Bread Pack,Bakery,151,103,48,50.39,10,2025-11-08,Sunday,true,,false,Cloudy,26,0.66
sup-001,Egg Puff,Bakery,93,37,56,31.28,18,2025-11-09,Monday,false,,false,Rainy,24.4,0.4
sup-002,Curd Rice,Lunch,92,70,22,74.4,4,2025-11-10,Tuesday,false,,false,Overcast,25,0.68
sup-003,Paneer Fried Rice,Rice,135,67,68,133.26,14,2025-11-11,Wednesday,false,,false,Humid,27.7,0.58
sup-004,Lemon Rice,Lunch,66,53,13,65.71,2,2025-11-12,Thursday,false,,false,Sunny,25,0.71
sup-001,Lemon Rice,Lunch,99,79,20,67.35,4,2025-11-13,Friday,false,,false,Overcast,25.3,0.7
sup-002,Idli Sambar,Breakfast,72,53,19,59.76,4,2025-11-14,Saturday,true,,false,Sunny,25.2,0.68
sup-003,Vegetable Biryani,Rice,108,48,60,141.29,19,2025-11-15,Sunday,true,,false,Rainy,25.4,0.54
sup-004,Chicken Biryani,Rice,55,24,31,183.71,6,2025-11-16,Monday,false,,false,Cloudy,24.9,0.55
sup-001,Idli Sambar,Breakfast,63,38,25,53.69,7,2025-11-17,Tuesday,false,,false,Rainy,24.5,0.56
sup-002,Paneer Fried Rice,Rice,97,40,57,129.15,13,2025-11-18,Wednesday,false,,false,Cloudy,25.7,0.49
sup-003,Egg Puff,Bakery,107,55,52,34.12,15,2025-11-19,Thursday,false,,false,Rainy,24.6,0.51
sup-004,Idli Sambar,Breakfast,122,81,41,55.12,8,2025-11-20,Friday,false,,false,Cloudy,24.7,0.61
sup-001,Idli Sambar,Breakfast,83,64,19,56.12,4,2025-11-21,Saturday,true,,false,Overcast,24.7,0.72
sup-002,Bread Pack,Bakery,132,102,30,54.68,6,2025-11-22,Sunday,true,,false,Overcast,27.2,0.75
sup-003,Curd Rice,Lunch,139,111,28,75.41,5,2025-11-23,Monday,false,,false,Sunny,26.2,0.72
sup-004,Curd Rice,Lunch,85,55,30,72.69,6,2025-11-24,Tuesday,false,,false,Cloudy,25.2,0.57
sup-001,Chicken Biryani,Rice,68,31,37,181.18,8,2025-11-25,Wednesday,false,,false,Sunny,26.4,0.57
sup-002,Egg Puff,Bakery,101,57,44,35.16,9,2025-11-26,Thursday,false,,false,Overcast,27.1,0.56
sup-003,Egg Puff,Bakery,148,98,50,36.27,9,2025-11-27,Friday,false,,false,Overcast,25.1,0.66
sup-004,Idli Sambar,Breakfast,130,90,40,58.48,9,2025-11-28,Saturday,true,,false,Cloudy,24.8,0.64
sup-001,Veg Noodles,FastFood,131,89,42,112.28,8,2025-11-29,Sunday,true,,false,Overcast,26.4,0.75
